ExpectedScore,Trial,Paradigm,Description
1,10148.20120815.3.4,antistate,perfect correct as
1,10152.20091229.1.37,anti,perfect correct as
1,10636.20090216.1.38,bars,perfect correct as
1,10148.20120815.3.4,antistate,perfect correct as
1,10156.20110923.2.27,scannerbars,perfect correct as
0,10218.20100619.1.33,anti,incorrect as-not corrected
0,10589.20080714.2.44,bars,incorrect as-not corrected
0,10280.20060513.2.12,antistate,incorrect as-not corrected
0,10637.20100828.2.21,scannerbars,incorrect as-not corrected3
2,10316.20130529.1.39,anti,incorrect as-then corrected
2,10648.20100428.2.47,bars,incorrect as-then corrected
2,10156.20070707.3.7,antistate,incorrect as-then corrected
2,10680.20120615.1.23,scannerbars,incorrect as-then corrected
NA,10527.20080620.1.29,anti,drop poor tracking
NA,10585.20080707.2.49,bars,drop poor tracking
NA,10216.20080201.3.2,antistate,drop poor tracking
NA,10300.20081112.2.38,scannerbars,drop poor tracking
NA,10697.20110127.1.20,anti,drop off baseline
NA,10666.20090414.1.47,bars,drop off baseline
NA,10183.20080517.3.11,antistate,drop off baseline
NA,10181.20130129.2.17,scannerbars,drop off baseline
NA,10138.20120411.1.41,anti,drop no good saccades
NA,10565.20080528.2.24,bars,drop no good saccades
NA,10772.20091224.4.12,scannerbars,drop no good saccades
NA,11128.20130212.2.53,bars,drop moving during target onset
NA,10847.20120616.1.18,scannerbars,drop moving during target onset
NA,10772.20121119.1.27,bars,drop blinking during target
NA,10267.20080223.2.8,antistate,drop blinking during target
NA,10754.20090928.2.26,bars,drop no tracking
NA,10565.20080528.2.24,bars,drop no saccades
NA,10194.20060204.3.6,antistate,drop no saccades
NA,10760.20110513.1.19,scannerbars,drop no saccades
NA,10173.20091205.1.25,bars,drop blink before target
NA,10248.20070407.4.12,antistate,drop blink before target
NA,10662.20120403.2.8,bars,drop blink-no saccades
1,10186.20100310.4.9,antistate,perfect correct prosaccade
1,10252.20090513.1.2,antistate,perfect correct prosaccade
2,10288.20100518.3.1,antistate,vgse
NA,10183.20100219.1.44,vgs,drop bad tracking
NA,10192.20090314.4.11,antistate,drop bad tracking
NA,10233.20080223.3.9,antistate,drop off baseline
NA,10236.20100312.1.46,vgs,drop no saccades
NA,10344.20060909.1.6,antistate,drop no saccades
NA,10256.20060408.4.7,antistate,drop blink
NA,10226.20081201.1.39,vgs,drop blink before target
